Date,Y,m,d,d-T,h,Demand,Demand Forecast,SPOT Market Volume,Market Clearing Price,Wind Forecast,RoR Forecast,Yuk Tahmin Planı (MWh),Net Order
01/01/2021,2021,1,1,5,0, 29489   , 32764   , 21269   , 263.99   , 5257   , 418   ,28125,347.468
01/01/2021,2021,1,1,5,1, 28067   , 31329   , 20661   , 236.99   , 5110   , 410   ,26548,725.219
01/01/2021,2021,1,1,5,2, 26527   , 30124   , 19317   , 216.70   , 4960   , 360   ,25288,799.001
01/01/2021,2021,1,1,5,3, 25327   , 28891   , 18445   , 218.07   , 4829   , 329   ,24312,495.103
01/01/2021,2021,1,1,5,4, 24720   , 28090   , 18148   , 208.99   , 4627   , 312   ,23730,484.364
01/01/2021,2021,1,1,5,5, 24628   , 28312   , 18086   , 209.00   , 4398   , 299   ,23536,0
01/01/2021,2021,1,1,5,6, 24690   , 28382   , 19026   , 236.98   , 4148   , 312   ,23774,0
01/01/2021,2021,1,1,5,7, 24984   , 29344   , 19374   , 225.00   , 4027   , 350   ,24112,410.867
01/01/2021,2021,1,1,5,8, 25185   , 31352   , 19827   , 236.98   , 3960   , 406   ,24197,-258.067
01/01/2021,2021,1,1,5,9, 26637   , 32849   , 20039   , 216.51   , 3763   , 450   ,25402,-997.469
01/01/2021,2021,1,1,5,10, 28173   , 33979   , 20858   , 236.99   , 3528   , 505   ,26788,-1227.211
01/01/2021,2021,1,1,5,11, 30048   , 34577   , 21492   , 220.57   , 3362   , 527   ,28061,-97.243
01/01/2021,2021,1,1,5,12, 30320   , 33682   , 21195   , 218.18   , 3259   , 489   ,28701,338.201
01/01/2021,2021,1,1,5,13, 30763   , 33207   , 20689   , 236.98   , 3060   , 478   ,29224,688.53
01/01/2021,2021,1,1,5,14, 30832   , 34368   , 20551   , 236.98   , 2810   , 495   ,29614,584.852
01/01/2021,2021,1,1,5,15, 30790   , 35061   , 20556   , 218.32   , 2454   , 557   ,30314,539.647
01/01/2021,2021,1,1,5,16, 31066   , 35833   , 20073   , 284.99   , 2042   , 610   ,31318,797.45
01/01/2021,2021,1,1,5,17, 31996   , 37077   , 20916   , 317.37   , 1804   , 652   ,33215,555.168
01/01/2021,2021,1,1,5,18, 33424   , 37746   , 21783   , 323.06   , 1676   , 672   ,34668,555.016
01/01/2021,2021,1,1,5,19, 33097   , 37232   , 21287   , 320.52   , 1592   , 649   ,34357,779.513
01/01/2021,2021,1,1,5,20, 32281   , 36038   , 20927   , 319.17   , 1520   , 605   ,33547,669.316
01/01/2021,2021,1,1,5,21, 31570   , 35003   , 20569   , 315.97   , 1426   , 555   ,33005,688.629
01/01/2021,2021,1,1,5,22, 31105   , 35034   , 20095   , 313.56   , 1350   , 498   ,32081,837.834
01/01/2021,2021,1,1,5,23, 30253   , 33771   , 19960   , 310.78   , 1242   , 513   ,30794,805.551
02/01/2021,2021,1,2,6,0, 28921   , 33143   , 21084   , 310.00   , 1112   , 631   ,30516,-825.763
02/01/2021,2021,1,2,6,1, 27556   , 31716   , 21306   , 300.00   , 1034   , 634   ,28893,-591.501
02/01/2021,2021,1,2,6,2, 26417   , 30463   , 20478   , 256.33   , 961   , 526   ,27606,-572
02/01/2021,2021,1,2,6,3, 25766   , 29611   , 19978   , 248.02   , 886   , 469   ,26716,-586
02/01/2021,2021,1,2,6,4, 25309   , 29244   , 19851   , 236.99   , 820   , 480   ,26208,-861.11
02/01/2021,2021,1,2,6,5, 25331   , 29269   , 19949   , 248.02   , 773   , 506   ,26179,-819.26
02/01/2021,2021,1,2,6,6, 25561   , 29690   , 21283   , 259.00   , 773   , 519   ,26328,-834
02/01/2021,2021,1,2,6,7, 26158   , 30544   , 22515   , 269.99   , 820   , 555   ,27406,-1094
02/01/2021,2021,1,2,6,8, 27390   , 32098   , 22874   , 285.00   , 869   , 650   ,29709,-1702.771
02/01/2021,2021,1,2,6,9, 29544   , 33567   , 23732   , 284.99   , 871   , 738   ,32954,-1827.43
02/01/2021,2021,1,2,6,10, 31028   , 34324   , 24687   , 278.41   , 814   , 796   ,32976,-1948.838
02/01/2021,2021,1,2,6,11, 32441   , 34234   , 24923   , 269.99   , 719   , 768   ,32945,-2084.686
02/01/2021,2021,1,2,6,12, 32365   , 32932   , 24536   , 263.00   , 671   , 703   ,31463,-1955.884
